,0,1,2,3,4
0,34282,ресторан,Whole,31,40
1,34282,обслуживание,Service,96,118
2,34282,блюда,Food,301,307
3,34282,цезарь,Food,359,367
4,34282,пасту,Food,380,386
5,34282,блины,Food,387,394
6,34282,салат,Food,434,440
7,34282,блины,Food,462,468
8,34282,хлеб,Food,500,506
9,34282,пасту,Food,685,691
10,34282,пасту,Food,748,758
11,34282,сервис,Service,860,868
12,34282,ресторан,Whole,894,909
13,34282,поесть,Food,1031,1040
14,18983,ресторане,Whole,26,37
15,18983,еда,Food,64,68
16,18983,еда,Food,93,100
17,18983,китайских ресторанах,Whole,120,142
18,18983,рыба,Food,146,151
19,18983,мясо,Food,156,162
20,18983,вкус,Food,175,180
21,18983,соусом,Food,202,209
22,18983,десертов,Food,271,283
23,18983,мороженое с сыром гарганзолла,Food,302,333
24,18983,обслуживание,Service,378,391
25,18983,официанта,Service,407,417
26,18983,обстановка,Interior,458,469
27,18983,интерьер,Interior,470,487
28,18983,музыка,Interior,527,541
29,18983,заведении,Whole,648,664
30,28710,место,Whole,9,15
31,28710,ресторан,Whole,101,110
32,28710,ресторанов,Whole,111,123
33,28710,вечер,Whole,271,277
34,28710,интерьер,Interior,341,350
35,28710,диваны,Interior,490,497
36,28710,свечи,Interior,497,503
37,28710,вечер,Whole,572,582
38,28710,пианистка,Service,597,613
39,28710,персонал,Service,648,661
40,28710,встретила,Service,704,725
41,28710,официанты,Service,810,824
42,28710,ресторан,Whole,936,945
43,8759,интерьер,Interior,120,129
44,8759,стойку,Food,270,277
45,8759,заведении ресторана,Whole,316,337
46,8759,кухни,Food,357,363
47,8759,блюда,Food,400,406
48,8759,порции средних размеров,Food,444,469
49,8759,меню,Food,489,496
50,8759,выбор алкоголя,Food,559,574
51,8759,пива,Food,620,626
52,8759,виски,Food,627,633
53,8759,выпить,Food,651,659
54,8759,поесть,Food,660,668
55,8759,напитки,Food,692,709
56,8759,блюда,Food,717,728
57,8759,вечер,Whole,803,815
58,8759,заведение,Whole,864,874
59,33816,вид на залив из окна,Interior,63,84
60,33816,интерьер,Interior,96,109
61,33816,атмосфера,Interior,154,164
62,33816,обслуживание,Service,212,228
63,33816,кухни,Food,238,245
64,33816,девушка - певица,Service,322,348
65,33816,провели время,Whole,420,434
66,3762,пиво,Food,156,161
67,3762,шницель,Food,181,189
68,3762,еду,Food,239,243
69,3762,мороженое,Food,347,358
70,3762,заведения,Whole,396,406
71,3762,мороженое,Food,467,483
72,3762,заведение,Whole,532,542
73,3762,ждать,Service,732,748
74,3762,официантов,Service,738,749
75,20021,интерьер,Interior,404,416
76,20021,висят картины,Service,446,460
77,20021,меню,Food,506,511
78,20021,цены,Price,563,570
79,20021,кальян,Food,571,581
80,20021,выбор еды,Food,607,626
81,20021,фруктов,Food,647,656
82,20021,салат,Food,657,664
83,20021,еду,Food,772,781
84,20021,напитки,Food,830,842
85,20021,сервис,Service,903,910
86,20021,место,Whole,997,1011
87,20021,стойку,Food,1124,1132
88,20021,разговоры с приветливым барменом,Food,1149,1182
89,5928,тан жен,Whole,58,66
90,5928,интерьер,Interior,161,177
91,5928,кухня,Food,233,247
92,5928,салат из свиных ушей,Food,267,288
93,5928,баклажаны,Food,308,318
94,5928,лапшу с креветками,Food,344,364
95,5928,официантки,Service,448,464
96,5928,посоветуют,Service,498,509
97,5928,кухня,Food,619,638
98,5928,блюд,Food,673,679
99,5928,провести время,Whole,721,736
100,5928,суши барами,Food,794,806
101,5928,покушать,Food,807,817
102,5928,тан жен,Whole,826,834
103,3236,меню,Food,46,57
104,3236,пиццы,Food,71,78
105,3236,пасты,Food,79,85
106,3236,блюда,Food,130,140
107,3236,одинаковыми салатами,Food,323,345
108,3236,ресторан,Whole,454,463
109,3236,выбор блюд,Food,489,507
110,3236,заведение,Whole,532,543
111,3236,место,Whole,582,588
112,3236,кухня,Food,611,618
113,3236,заведение,Whole,639,654
114,3236,кафе,Whole,693,699
115,3236,ресторан,Whole,700,715
116,3236,кухню мясными блюдами,Food,838,860
117,3236,салатами,Food,884,894
118,8555,место,Whole,12,21
119,8555,человек годовщины выпуска,Service,62,88
120,8555,кухня,Food,122,129
121,8555,заведении,Whole,135,149
122,8555,блюд,Food,234,239
123,8555,пасту,Food,265,271
124,8555,порции,Food,370,384
125,8555,заведении,Whole,612,627
126,8555,мороженое,Food,644,654
127,8555,десертов,Food,673,690
128,8555,официантки,Service,738,754
129,8555,блюда,Food,834,848
130,8555,место,Whole,961,967
131,8555,интерьер,Interior,968,981
132,8555,заведение,Whole,1061,1074
133,32995,местечко выпить,Whole,20,40
134,32995,пива,Food,36,42
135,32995,пивом,Food,420,427
136,32995,едой,Food,428,433
137,32995,пиво,Food,434,446
138,32995,еда,Food,528,533
139,32995,порции,Food,564,581
140,32995,обслуживание,Service,583,601
141,32995,официантки,Service,634,645
142,32995,официант,Service,660,675
143,32995,место,Whole,762,768
144,36589,персоналу,Service,57,69
145,36589,обслуживание,Service,83,96
146,36589,ресторан,Whole,97,111
147,36589,вид из окон,Interior,120,140
148,36589,еда,Food,158,166
149,36589,блюд,Food,200,213
150,36589,ресторанов,Whole,269,280
151,36589,место,Whole,340,346
152,6880,ресторане,Whole,20,30
153,6880,персонала,Service,145,157
154,6880,шашлыки из баранины,Food,416,438
155,6880,овощи,Food,470,476
156,6880,картофель айдахо,Food,477,494
157,6880,чай,Food,521,525
158,6880,кофе,Food,526,531
159,6880,мясо,Food,541,549
160,6880,кофе,Food,622,628
161,6880,чай,Food,629,641
162,6880,кофе заварной из турки,Food,649,672
163,6880,мясо,Food,701,710
164,6880,соус,Food,760,774
165,6880,соус,Food,850,856
166,6880,меню,Food,944,954
167,6880,блюд,Food,1019,1030
168,6880,сервис,Service,1097,1111
169,32856,ресторан марчеллис,Whole,32,51
170,32856,кухня,Food,85,92
171,32856,обслуживание,Service,93,115
172,32856,народу полный зал,Interior,229,247
173,32856,девушка - администратор,Service,376,403
174,32856,приняла заказ,Service,531,545
175,32856,обстановка,Interior,546,558
176,32856,ресторане,Whole,559,575
177,32856,персонал,Service,653,670
178,32856,палтус со шпинатом,Food,718,737
179,32856,палтуса,Food,753,763
180,32856,салат из запеченых овощей,Food,794,820
181,32856,десерты,Food,903,911
182,32856,ужин,Food,922,936
183,32856,панакота,Food,1040,1049
184,32856,заведении,Whole,1081,1091
185,32856,ресторане,Whole,1245,1255
186,1878,ресторане,Whole,19,30
187,1878,встретили,Service,69,79
188,1878,атмосфера,Interior,128,146
189,1878,официантка,Service,162,173
190,1878,обслуживание,Service,223,237
191,1878,ресторане,Whole,238,256
192,1878,девушка,Service,318,327
193,1878,горячее,Food,369,377
194,1878,блюда,Food,410,420
195,1878,заведение,Whole,561,571
196,7890,меню,Food,93,99
197,7890,салат с рыбой,Food,110,125
198,7890,холодные закуски,Food,157,175
199,7890,горячее,Food,176,184
200,7890,кухня,Food,240,246
201,7890,интерьер,Interior,266,275
202,7890,музыка,Interior,276,289
203,7890,персонал,Service,307,320
204,7890,администратор,Service,343,358
205,7890,официанты,Service,359,369
206,7890,сервис,Service,370,379
207,343,ресторане,Whole,24,34
208,343,еда,Food,60,68
209,343,официанты,Service,87,108
210,343,интерьер,Interior,110,124
211,343,горячее,Food,549,560
212,343,еду,Food,629,644
213,343,ресторан,Whole,762,774
214,343,напитки,Food,842,850
215,343,алкоголя,Food,851,862
216,16378,кухня,Food,130,137
217,16378,суп-харчо,Food,138,148
218,16378,шашлыки,Food,149,158
219,16378,вино,Food,243,249
220,16378,чай с чабрецом,Food,276,292
221,16378,месте,Whole,357,375
222,16378,салат,Food,376,391
223,16378,интерьер,Interior,456,466
224,16378,обслуживание,Service,753,767
225,16378,место,Whole,940,949
226,16378,заведение,Whole,1033,1051
227,16378,цена,Price,1154,1164
228,3385,закуски,Food,81,92
229,3385,официантка,Service,141,152
230,3385,официантка,Service,332,344
231,3385,горячее,Food,408,417
232,3385,закуски,Food,512,520
233,3385,блюда,Food,664,670
234,3385,администратор,Service,772,787
235,3385,торт,Food,1031,1036
236,3385,интерьера,Interior,1145,1155
237,3385,кухню,Food,1274,1284
238,12366,суп,Food,88,92
239,12366,кухню,Food,124,133
240,12366,приносят,Service,164,183
241,12366,шеф повара,Food,187,198
242,12366,порции,Food,241,252
243,12366,ресторан,Whole,279,290
244,12366,интерьер,Interior,305,322
245,12366,ресторан,Whole,376,394
246,12366,место,Whole,472,482
247,20086,заведение,Whole,39,49
248,20086,столик заказали,Service,50,66
249,20086,ресторане,Whole,122,133
250,20086,зала,Interior,134,140
251,20086,караоке,Interior,153,162
252,20086,интерьер,Interior,211,221
253,20086,мебель,Interior,266,273
254,20086,меню,Food,274,281
255,20086,цены,Price,297,317
256,20086,салатов,Food,351,362
257,20086,персонала,Service,445,456
258,20086,персонал,Service,579,588
259,20086,администрация кризис,Service,635,660
260,20086,десерты,Food,722,732
261,20086,ресторане,Whole,784,794
262,28612,ресторан,Whole,0,22
263,28612,персонал,Service,50,59
264,28612,встречают,Service,73,83
265,28612,выбор блюд,Food,140,151
266,28612,готовят,Food,152,167
267,28612,порции,Food,178,192
268,28612,музыка,Interior,281,288
269,28612,обстановка,Interior,309,320
270,28612,интерьер,Interior,333,342
